username,comment_text,tagged_users_count,post_shortcode,comment_len
sh.ane5651,매일 아침마다 달려요. 비오면 못나가지만 매일 조금이라도 하려고 노력하는 일인 응원해주세요 🏃🏻‍♂️‍➡️🏃🏻‍♂️‍➡️🏃🏻‍♂️‍➡️🚦🏃‍♀️🏃‍♀️🏃‍♀️🏅🏃🏃🏃👟🏃🏻‍➡️🏃🏻‍➡️🏃🏻‍➡️🩲🏃🏼‍♀️‍➡️🏃🏼‍♀️‍➡️🏃🏼‍♀️‍➡️,0,manual_import,133
jyk712712,런런런🏃🏃‍♀️🏃‍♂️,0,manual_import,12
bitter_sw2t__,🏋🏻‍♀️🏌️‍♀️🏄‍♀️🛼🛹⚾️⛹️‍♀️🚴‍♀️🏊‍♀️🧗‍♀️ @legere_jh @nouveau_depart._.4 @hamlog_,3,manual_import,75
aqsg1212,올해도 건강을달리즈,0,manual_import,10
yale__unni,안티에이징의핵심선스틱🫦,0,manual_import,12
calmf_official,"해당 게시글이 아닌, 저희 계정 고정핀 게시글에 댓글을 달아 참여해 주세요! 🏃🏻‍♀️🫵🏻📢",0,manual_import,51
loveberry08,💪🚶‍♂️🚶‍♀️🏃‍♂️🏃‍♀️@bedri558103,1,manual_import,29
choux.makeup,"🏃🏻‍♀️💪👟✨✨✨

👟🏃🏃🏻‍♀️🏃‍♂️!!!!",0,manual_import,27
kor_7791,🏃‍♂️ 🏃‍♀️ 🏃‍♂️ 🏃‍♀️ 🏃‍♂️.🔥 @jegeumsug9,1,manual_import,38
vatory1222,🏃‍♀️🏃✌️🧠🫶,0,manual_import,9
katarinao0,🏋️💪🏃🏃‍♀️💨,0,manual_import,9
make_delight_,💪🏻🏃🏃🏻‍♀️,0,manual_import,8
o_2_e_2,✈️🛶🏃🏻‍♂️🏃🏻‍♂️🏃🏻,0,manual_import,15
cheri.u22,🏃🏃🏻‍♀️🏃‍♂️💨👟🔥💪🏻❤️‍🔥,0,manual_import,19
starry_night3081,🚶‍♀️🏃‍♀️🦮,0,manual_import,9
lee.hyunsil,🏃🏻🏃🏻‍♀️🏃🏻‍♂️🔥🔥🔥,0,manual_import,15
superwithcub,🏃🏃‍♀️🏃‍♂️💨❤️‍🔥💪🥵,0,manual_import,16
fishing.you,"💪🏃🏃‍♀️🏃‍♂️🎽💛

⛄️☃️🎽🩵🩵",0,manual_import,21
minny_3.23,🏃‍♂️🏃‍♀️🏃❤️‍🔥❤️‍🔥,0,manual_import,17
1111kkkjk,"🏃‍♀️

🏃‍♂️ 💪",0,manual_import,12
hasiri1818,🏃‍♀️ 🏃‍♂️ 🌋,0,manual_import,11
rainbow.rose.1004,⛰️🏞🌊🌇🌉🏃,0,manual_import,7
peachberry365,🏃‍➡️🏃🏃‍♀️‍➡️🏃‍♀️💪,0,manual_import,17
2847ha,💪🦶🏃‍♀️‍➡️🏃‍♂️🏃‍♀️‍➡️🏃‍♂️,0,manual_import,24
qazy_o_o,"🩷🩷✋💪🏼💪🏼

💪🏼🏃🏃‍♀️🏃‍♂️",0,manual_import,20
owlti_25,🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️🏃🏃‍♀️🏃🏃‍♀️,0,manual_import,34
seonmogo,🏃‍♀️🏃‍♀️🏃‍♀️🏃‍♀️🏃‍♀️🏃‍♀️,0,manual_import,24
alphagirl282,💪🏃‍♂️🏃‍♂️‍➡️🏃‍♀️🏃‍♀️‍➡️🏃🏃‍➡️,0,manual_import,28
run.shoko,🏃‍♀️🏃🕺🦵,0,manual_import,7
niemand0621,"🏃‍♂️ 🏃‍♀️ 🏃‍♂️ 🏃‍♀️ 🏃‍♂️ 🏃‍♀️ 🏃‍♂️ 🏃‍♀️ 🏃‍♀️ 🏃‍♀️ 🏃‍♀️ 🏃‍♀️ 🏃‍♂️ 🏃‍♀️ 🏃‍♂️ 🏃‍♀️ 🏃‍♂️ 🏃‍♀️ 🏃‍♂️ 🏃‍♀️ 🏃‍♂️ 🏃‍♀️ 🏃‍♂️ 🏃‍♀️ 🏃‍♂️ 🏃‍♀️ 🏃‍♂️ 🏃‍♀️ 💪 💪 🔥 🔥 🔥 🐎 🏇 🐎 🏇 🐎

🐎 🏇 🏃‍♂️ 🏃‍♀️ 🏃‍♂️ 🏃‍♀️ 💪 💪 👟 👟",0,manual_import,192
majaegyeong8,🏃‍♂️🏃‍♀️🏃,0,manual_import,9
cooo_kiee,🏃‍♀️🏃🏃‍♂️🏅🌟🐆✨️,0,manual_import,14
__zzabu,👍💙🧦🏃‍♀️🏃🏃‍♂️,0,manual_import,12
bhr12_16,💪🦵🦶🫀🫁🏃🏃‍♀️🏃‍♂️🔥🔥☄️☄️ @qus12280,0,DSuGISfjPUk,30
hou_ioi01,달려 달려 🏃‍♂️🏃‍♀️🏃🏃‍♂️🏃‍♀️🏃 @haqa,1,manual_import,30
east_ark,"🌅🏃‍♂️🏙🏃‍♀️🏖🏃🏔🏃‍♂️☔️🏃‍♀️☃️🏃
@rumble_turtle @rainbow.rose.1004",2,manual_import,60
super_sooooo,🥰🔥🥰🔥🥰🔥🥰🔥 @ramisam88,0,DSuGISfjPUk,19
bokgorae,🥶🔥🧎🏻🧍🏻🚶🏻🏃🏻💪🏻🔥🔥 @kdsallin @soccer_0704 @leune_arm_strong,0,DSuGISfjPUk,55
droing909,🐎🐎👟🤜🤛👊🍂💛🥼✊️@minet.7 @beautiful__run @iololog.jpeg,0,DSuGISfjPUk,49
290700_j,🏃‍♂️🏃‍♀️🏃‍♂️🏃‍♀️ 💪🦵🦶 26년에도 열심히 달려보자!! 달릴때 엔돌핀 업업 ! 넘넘 행복해요! 계속 열심히 뛰어 볼래요! 낭만 러너 고고씽❤️❤️ @lee2580_hy @younghwa9864 @kkkku_u,0,DSuGISfjPUk,123
jejurunningman,😁😁👍👍🕺🕺🕺🏃🏃🏃🏃@hwangjiugae @soonhansin @beginning_myswim @limgeumdong,0,DSuGISfjPUk,66
meriel16552,🧊❄️☃️🏃‍♀️🔥👍👍👍 @aimee_d_time @lee_hyeong_lim80,0,DSuGISfjPUk,45
jameica_zebra,🥶🏃‍➡️🙌🙏🌶️👍 @gongjaehyeon82,0,DSuGISfjPUk,26
janght86,🏃👍🏻⌚️⛰️🥇💕💕💕 @runnermoyaya,0,DSuGISfjPUk,25
kimjunyp,"🏃🏻🏃‍♂️🏃‍♀️🏃🏻❤️‍🔥❤️‍🔥❤️🐎
@bottlejin._.x @u_dangtang_life",0,DSuGISfjPUk,55
